epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.7577,4.21481,4.14215,3.03073,0.22608,0.06489,0.01866,0.00553,3.31501,2.73712,1.86449,0.0033251,0.0033251,0.0033251
2,173.012,3.01374,2.71492,1.68683,0.2594,0.07124,0.0464,0.01797,2.67771,2.29815,1.45837,0.00659252,0.00659252,0.00659252
3,255.255,2.61365,2.39523,1.45116,0.20063,0.10332,0.06667,0.029,2.36776,1.99834,1.31947,0.00979393,0.00979393,0.00979393
4,336.491,2.39195,2.18896,1.35268,0.10021,0.11776,0.07631,0.03504,2.22242,1.89239,1.24691,0.009703,0.009703,0.009703
5,417.715,2.24603,2.02645,1.29073,0.13913,0.13072,0.09087,0.04416,2.03687,1.71518,1.19032,0.009604,0.009604,0.009604
6,498.66,2.16012,1.93357,1.25296,0.17913,0.13717,0.10003,0.04788,2.00043,1.6558,1.17799,0.009505,0.009505,0.009505
7,579.315,2.09588,1.8591,1.2293,0.16287,0.14269,0.10989,0.05291,1.9387,1.61223,1.15978,0.009406,0.009406,0.009406
8,659.94,2.03924,1.80037,1.20617,0.18073,0.15109,0.10931,0.05435,1.92076,1.58842,1.13933,0.009307,0.009307,0.009307
9,740.49,2.00807,1.76312,1.19521,0.16707,0.15681,0.11824,0.05903,1.86522,1.56031,1.12945,0.009208,0.009208,0.009208
10,821.834,1.98385,1.72719,1.17955,0.17584,0.16816,0.12129,0.05973,1.85887,1.53536,1.12253,0.009109,0.009109,0.009109
11,902.729,1.94696,1.68972,1.17395,0.18194,0.17149,0.12511,0.06209,1.84799,1.51889,1.11307,0.00901,0.00901,0.00901
12,983.33,1.93479,1.68218,1.1691,0.18793,0.16818,0.12712,0.06288,1.81704,1.4789,1.10959,0.008911,0.008911,0.008911
13,1063.72,1.91555,1.64724,1.16219,0.19282,0.17779,0.12834,0.06401,1.81648,1.49647,1.10415,0.008812,0.008812,0.008812
14,1144.37,1.89596,1.64351,1.1523,0.19203,0.18067,0.13655,0.0692,1.79207,1.45287,1.09538,0.008713,0.008713,0.008713
15,1225.7,1.90189,1.62485,1.14894,0.1959,0.18061,0.13632,0.06912,1.79176,1.44639,1.1012,0.008614,0.008614,0.008614
16,1309.43,1.88505,1.61431,1.1493,0.22181,0.18068,0.13948,0.07081,1.78249,1.45083,1.09163,0.008515,0.008515,0.008515
17,1390.63,1.86749,1.60023,1.14022,0.19532,0.17652,0.13894,0.06983,1.78372,1.43713,1.09215,0.008416,0.008416,0.008416
18,1471.28,1.86231,1.58672,1.13788,0.21962,0.18421,0.14743,0.07479,1.77056,1.41814,1.08732,0.008317,0.008317,0.008317
19,1551.19,1.84465,1.58082,1.13683,0.22634,0.18572,0.149,0.07582,1.75795,1.42226,1.0851,0.008218,0.008218,0.008218
20,1631,1.83798,1.56264,1.13216,0.22113,0.18748,0.14684,0.07607,1.73637,1.39002,1.07633,0.008119,0.008119,0.008119
21,1712.26,1.83118,1.55902,1.12596,0.22004,0.1839,0.14803,0.07528,1.75032,1.40919,1.07854,0.00802,0.00802,0.00802
22,1792.71,1.81462,1.54265,1.12301,0.23007,0.18399,0.15432,0.08054,1.71768,1.37928,1.07354,0.007921,0.007921,0.007921
23,1873.12,1.81216,1.53464,1.12261,0.2293,0.19038,0.15922,0.08224,1.71125,1.37202,1.07298,0.007822,0.007822,0.007822
24,1953.88,1.80022,1.52746,1.11729,0.24075,0.1939,0.16187,0.08251,1.70454,1.37807,1.06947,0.007723,0.007723,0.007723
25,2034.22,1.79277,1.51447,1.11406,0.23137,0.19435,0.15771,0.08216,1.69727,1.3776,1.06674,0.007624,0.007624,0.007624
26,2114.47,1.80471,1.52871,1.1164,0.24877,0.19774,0.1638,0.08493,1.6973,1.36239,1.06131,0.007525,0.007525,0.007525
27,2194.49,1.7919,1.51392,1.1059,0.25662,0.1924,0.16416,0.08605,1.68663,1.35866,1.05769,0.007426,0.007426,0.007426
28,2274.24,1.78457,1.50379,1.10132,0.24798,0.19586,0.16749,0.08678,1.68131,1.35663,1.06085,0.007327,0.007327,0.007327
29,2354.48,1.77889,1.50335,1.10123,0.26309,0.19635,0.16665,0.08744,1.67095,1.34719,1.0564,0.007228,0.007228,0.007228
30,2435.16,1.78583,1.49708,1.0993,0.2639,0.19382,0.16678,0.08625,1.69304,1.36181,1.05564,0.007129,0.007129,0.007129
31,2515.35,1.79345,1.50569,1.09778,0.24931,0.19978,0.16788,0.08775,1.71526,1.37328,1.05202,0.00703,0.00703,0.00703
32,2598.48,1.80974,1.51622,1.09397,0.24979,0.20101,0.16984,0.08956,1.70584,1.36951,1.04992,0.006931,0.006931,0.006931
33,2678.85,1.81142,1.51474,1.09248,0.26726,0.19531,0.17112,0.09013,1.71563,1.37139,1.04662,0.006832,0.006832,0.006832
34,2758.26,1.80738,1.51751,1.08525,0.2586,0.19987,0.17344,0.09096,1.70695,1.36357,1.04292,0.006733,0.006733,0.006733
35,2837.78,1.80536,1.5093,1.08263,0.25163,0.20395,0.17402,0.09215,1.70501,1.36662,1.04046,0.006634,0.006634,0.006634
36,2918.05,1.79512,1.50177,1.08211,0.27293,0.20313,0.17847,0.09423,1.69698,1.36459,1.03783,0.006535,0.006535,0.006535
37,2998.14,1.78802,1.49801,1.07732,0.27231,0.20459,0.1753,0.0929,1.69615,1.35799,1.0366,0.006436,0.006436,0.006436
38,3078.28,1.79715,1.50091,1.07565,0.26031,0.20655,0.17739,0.09367,1.69537,1.34723,1.03188,0.006337,0.006337,0.006337
39,3158.3,1.78448,1.48729,1.06985,0.27394,0.20299,0.17823,0.09374,1.68541,1.34564,1.03188,0.006238,0.006238,0.006238
40,3239.99,1.78202,1.49293,1.07267,0.2719,0.20765,0.18089,0.09648,1.67567,1.33789,1.02734,0.006139,0.006139,0.006139
41,3319.37,1.77019,1.47719,1.06735,0.2644,0.20504,0.17895,0.09557,1.68002,1.33628,1.02941,0.00604,0.00604,0.00604
42,3400.24,1.77179,1.48426,1.07074,0.27734,0.20486,0.18118,0.0955,1.67642,1.33587,1.02773,0.005941,0.005941,0.005941
43,3480.03,1.77557,1.48249,1.06466,0.26964,0.20792,0.18259,0.09643,1.67568,1.3385,1.02495,0.005842,0.005842,0.005842
44,3560.96,1.77198,1.474,1.06399,0.27489,0.20724,0.18273,0.09692,1.67099,1.33295,1.02621,0.005743,0.005743,0.005743
45,3640.63,1.75866,1.46843,1.06101,0.27676,0.20746,0.18537,0.09876,1.66376,1.3288,1.02319,0.005644,0.005644,0.005644
46,3721.08,1.77166,1.47168,1.06454,0.28033,0.20815,0.18624,0.09915,1.66557,1.32135,1.02262,0.005545,0.005545,0.005545
47,3801.74,1.75853,1.46371,1.0601,0.28476,0.20998,0.18499,0.09883,1.66313,1.31866,1.02211,0.005446,0.005446,0.005446
48,3881.41,1.76127,1.46457,1.06021,0.28175,0.21009,0.18754,0.09959,1.66486,1.32283,1.0219,0.005347,0.005347,0.005347
49,3960.99,1.75327,1.45544,1.05761,0.2957,0.21111,0.19048,0.10188,1.65708,1.3123,1.02093,0.005248,0.005248,0.005248
50,4040.8,1.74802,1.45878,1.05945,0.28772,0.20982,0.18942,0.10086,1.6603,1.31678,1.0205,0.005149,0.005149,0.005149
51,4120.74,1.74633,1.45189,1.05562,0.28118,0.21117,0.18975,0.10237,1.65122,1.31093,1.01899,0.00505,0.00505,0.00505
52,4200.6,1.74499,1.44627,1.05543,0.29271,0.21152,0.18952,0.10214,1.64777,1.30368,1.01632,0.004951,0.004951,0.004951
53,4280.95,1.74714,1.45342,1.05603,0.28632,0.21332,0.19183,0.10257,1.65043,1.30593,1.01831,0.004852,0.004852,0.004852
54,4360.73,1.74093,1.44224,1.05179,0.28069,0.21762,0.19196,0.10269,1.6447,1.3063,1.01612,0.004753,0.004753,0.004753
55,4440.12,1.73713,1.43566,1.05311,0.28003,0.21375,0.18942,0.1007,1.64772,1.30568,1.01823,0.004654,0.004654,0.004654
56,4520.25,1.74192,1.43375,1.05057,0.28781,0.21643,0.19132,0.10117,1.64585,1.30214,1.01519,0.004555,0.004555,0.004555
57,4600.55,1.73105,1.43512,1.04896,0.28378,0.21934,0.19323,0.10303,1.64416,1.29721,1.01478,0.004456,0.004456,0.004456
58,4681.15,1.72485,1.42307,1.04631,0.28813,0.21534,0.19231,0.10326,1.63875,1.29588,1.01301,0.004357,0.004357,0.004357
59,4761.3,1.72968,1.43319,1.04979,0.28693,0.21905,0.1941,0.10431,1.63945,1.29166,1.01341,0.004258,0.004258,0.004258
60,4841.64,1.73082,1.43021,1.04542,0.28001,0.21935,0.1948,0.10441,1.63224,1.28871,1.01318,0.004159,0.004159,0.004159
61,4921.84,1.72519,1.42791,1.04752,0.28852,0.21773,0.19526,0.10547,1.63118,1.28713,1.01161,0.00406,0.00406,0.00406
62,5002.28,1.72234,1.42223,1.04371,0.29477,0.217,0.19602,0.10478,1.63347,1.28587,1.01133,0.003961,0.003961,0.003961
63,5082.56,1.71585,1.41836,1.04431,0.28586,0.22366,0.1961,0.10541,1.62986,1.28728,1.0099,0.003862,0.003862,0.003862
64,5162.39,1.72059,1.4198,1.04383,0.29709,0.21906,0.19722,0.10604,1.63166,1.28394,1.01002,0.003763,0.003763,0.003763
65,5242.27,1.71927,1.41115,1.04118,0.28475,0.21954,0.19546,0.1056,1.62762,1.2832,1.00935,0.003664,0.003664,0.003664
66,5322.16,1.71998,1.41838,1.04406,0.29786,0.21785,0.19592,0.10532,1.62605,1.28102,1.00834,0.003565,0.003565,0.003565
67,5402.29,1.72073,1.41556,1.04324,0.28798,0.22033,0.19691,0.10587,1.62457,1.27991,1.00791,0.003466,0.003466,0.003466
68,5481.93,1.71613,1.40603,1.03938,0.28859,0.22377,0.19681,0.10597,1.62175,1.28049,1.00815,0.003367,0.003367,0.003367
69,5561.95,1.70164,1.40081,1.0404,0.28559,0.22155,0.19756,0.10618,1.62258,1.28074,1.00822,0.003268,0.003268,0.003268
70,5641.9,1.70308,1.40204,1.03953,0.29417,0.22401,0.19919,0.10675,1.6209,1.27863,1.00752,0.003169,0.003169,0.003169
71,5721.79,1.7062,1.39909,1.03754,0.29537,0.22043,0.19875,0.10694,1.61999,1.27803,1.00791,0.00307,0.00307,0.00307
72,5801.25,1.71232,1.40464,1.03801,0.29852,0.21815,0.19814,0.10708,1.62121,1.27342,1.00683,0.002971,0.002971,0.002971
73,5881.93,1.70903,1.39554,1.03744,0.29807,0.22084,0.19985,0.10741,1.61607,1.27297,1.00536,0.002872,0.002872,0.002872
74,5962.27,1.71658,1.40493,1.03517,0.29685,0.22372,0.20029,0.10755,1.6192,1.27302,1.00631,0.002773,0.002773,0.002773
75,6042.03,1.6924,1.38839,1.03627,0.29949,0.22295,0.19976,0.10729,1.61946,1.27053,1.00564,0.002674,0.002674,0.002674
76,6121.44,1.69319,1.38418,1.03692,0.29249,0.2236,0.19999,0.10784,1.61966,1.27165,1.00554,0.002575,0.002575,0.002575
77,6201.27,1.70073,1.39322,1.03253,0.2946,0.22601,0.20115,0.10831,1.61734,1.26954,1.00515,0.002476,0.002476,0.002476
78,6282.02,1.70131,1.39612,1.0337,0.29734,0.22376,0.20116,0.10826,1.61742,1.26938,1.00533,0.002377,0.002377,0.002377
79,6362.25,1.68941,1.38487,1.03276,0.2916,0.22599,0.20068,0.10817,1.61586,1.26914,1.00384,0.002278,0.002278,0.002278
80,6442.55,1.69436,1.38745,1.03281,0.29242,0.2258,0.20113,0.10845,1.6142,1.26739,1.00405,0.002179,0.002179,0.002179
81,6522.85,1.69203,1.37914,1.03291,0.29594,0.22555,0.20235,0.10894,1.61212,1.26716,1.00314,0.00208,0.00208,0.00208
82,6603.06,1.69341,1.38112,1.03016,0.29052,0.22641,0.20141,0.10842,1.6124,1.26651,1.00334,0.001981,0.001981,0.001981
83,6682.72,1.68641,1.3794,1.0301,0.29516,0.22628,0.20259,0.10949,1.61202,1.26436,1.00352,0.001882,0.001882,0.001882
84,6761.86,1.68789,1.38209,1.03178,0.29531,0.22203,0.20274,0.10924,1.60998,1.263,1.00287,0.001783,0.001783,0.001783
85,6842.17,1.68675,1.37856,1.02998,0.28869,0.22484,0.20183,0.10857,1.61091,1.26455,1.00226,0.001684,0.001684,0.001684
86,6922.33,1.68482,1.37226,1.02846,0.29362,0.22631,0.2026,0.10876,1.60732,1.26141,1.00175,0.001585,0.001585,0.001585
87,7002.14,1.68249,1.37086,1.02726,0.29605,0.22606,0.20235,0.10868,1.60576,1.26184,1.00147,0.001486,0.001486,0.001486
88,7081.65,1.67285,1.36035,1.02594,0.29066,0.22681,0.20282,0.10904,1.60504,1.26099,1.0001,0.001387,0.001387,0.001387
89,7161.86,1.68407,1.36991,1.02805,0.2921,0.22848,0.20329,0.10964,1.60619,1.25992,1.00021,0.001288,0.001288,0.001288
90,7242.27,1.68155,1.37468,1.02907,0.29444,0.22977,0.20369,0.10958,1.60579,1.25882,1.00055,0.001189,0.001189,0.001189
91,7341.88,1.64028,1.35385,1.03528,0.29337,0.22483,0.20181,0.10901,1.6091,1.26235,1.00151,0.00109,0.00109,0.00109
92,7415.08,1.63424,1.32716,1.02967,0.2924,0.22686,0.20265,0.10952,1.60989,1.26265,1.00164,0.000991,0.000991,0.000991
93,7490.32,1.62634,1.32376,1.02626,0.301,0.22534,0.203,0.10953,1.61084,1.26176,1.00176,0.000892,0.000892,0.000892
94,7564.31,1.62109,1.31619,1.02952,0.29881,0.22852,0.20309,0.10996,1.60886,1.26037,1.00136,0.000793,0.000793,0.000793
95,7638.51,1.61888,1.3125,1.02639,0.29867,0.22737,0.20349,0.11027,1.60922,1.25931,1.00096,0.000694,0.000694,0.000694
96,7711.96,1.6153,1.30759,1.02501,0.29895,0.22763,0.20356,0.11006,1.6077,1.25789,1.00055,0.000595,0.000595,0.000595
97,7785.95,1.61334,1.3076,1.02595,0.30511,0.22578,0.2039,0.11001,1.60623,1.2569,1.00043,0.000496,0.000496,0.000496
98,7859.4,1.61092,1.30062,1.02343,0.30209,0.22546,0.20401,0.11033,1.60607,1.25676,1.00027,0.000397,0.000397,0.000397
99,7932.61,1.6136,1.30331,1.02337,0.30118,0.22635,0.20421,0.11056,1.60429,1.25595,0.99957,0.000298,0.000298,0.000298
100,8006.39,1.61033,1.30051,1.0237,0.30351,0.22645,0.20444,0.11019,1.60455,1.25652,0.99936,0.000199,0.000199,0.000199
