epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.8654,1.82585,2.48592,1.06282,0.25552,0.15048,0.11691,0.06261,1.66776,1.57668,0.99791,0.0033251,0.0033251,0.0033251
2,191.833,1.75148,1.63925,1.01845,0.20525,0.20303,0.14671,0.07893,1.65695,1.4359,0.98816,0.00659252,0.00659252,0.00659252
3,284.747,1.74491,1.54635,1.01054,0.25014,0.22029,0.1724,0.09281,1.65055,1.38098,0.98892,0.00979393,0.00979393,0.00979393
4,376.157,1.72583,1.48614,1.00543,0.26383,0.23067,0.18715,0.10072,1.62045,1.36775,0.98007,0.009703,0.009703,0.009703
5,467.558,1.6813,1.41777,0.99338,0.26732,0.23852,0.19797,0.10679,1.62579,1.31407,0.97847,0.009604,0.009604,0.009604
6,559.236,1.64575,1.36565,0.98388,0.30594,0.23587,0.208,0.11568,1.57903,1.25539,0.96736,0.009505,0.009505,0.009505
7,650.243,1.61847,1.32525,0.97856,0.30503,0.24119,0.2205,0.12323,1.55236,1.23735,0.96259,0.009406,0.009406,0.009406
8,740.979,1.5975,1.29084,0.97115,0.30956,0.22634,0.20658,0.11293,1.61053,1.30268,0.96742,0.009307,0.009307,0.009307
9,831.973,1.57676,1.26765,0.96788,0.34694,0.26184,0.24787,0.13818,1.50455,1.18822,0.95568,0.009208,0.009208,0.009208
10,922.603,1.56144,1.24187,0.96334,0.35448,0.25639,0.24521,0.13701,1.51012,1.18098,0.95243,0.009109,0.009109,0.009109
11,1013.56,1.54892,1.22142,0.96059,0.34176,0.26429,0.24252,0.13523,1.49179,1.19105,0.94571,0.00901,0.00901,0.00901
12,1103.33,1.54178,1.20315,0.95795,0.37357,0.27624,0.26354,0.15014,1.47149,1.12801,0.94164,0.008911,0.008911,0.008911
13,1193.83,1.53144,1.18531,0.95539,0.36156,0.27692,0.26223,0.14796,1.46635,1.1414,0.93982,0.008812,0.008812,0.008812
14,1283.79,1.52224,1.17699,0.95326,0.37165,0.27634,0.26655,0.15069,1.47326,1.13664,0.94043,0.008713,0.008713,0.008713
15,1373.88,1.51036,1.16304,0.95049,0.38885,0.27865,0.27433,0.15345,1.44933,1.10447,0.93739,0.008614,0.008614,0.008614
16,1464.6,1.50609,1.14872,0.94646,0.38495,0.28464,0.27061,0.15198,1.45862,1.11475,0.9397,0.008515,0.008515,0.008515
17,1555.01,1.5033,1.14733,0.94541,0.36927,0.29232,0.2773,0.15737,1.44004,1.09136,0.9336,0.008416,0.008416,0.008416
18,1645.36,1.48697,1.12904,0.9456,0.3733,0.29108,0.27393,0.15647,1.44087,1.0959,0.93445,0.008317,0.008317,0.008317
19,1736.47,1.49304,1.12871,0.94475,0.40081,0.28654,0.28331,0.16232,1.42524,1.08026,0.92849,0.008218,0.008218,0.008218
20,1827.23,1.48733,1.11915,0.94208,0.38898,0.28322,0.28048,0.15849,1.44283,1.07894,0.93242,0.008119,0.008119,0.008119
21,1916.72,1.47544,1.11548,0.94232,0.40297,0.28724,0.28447,0.16203,1.42527,1.07604,0.9294,0.00802,0.00802,0.00802
22,2007.76,1.47736,1.10681,0.94029,0.3851,0.29673,0.28569,0.1635,1.42528,1.07213,0.93048,0.007921,0.007921,0.007921
23,2098.59,1.46337,1.09582,0.93844,0.41579,0.28833,0.29352,0.16737,1.41477,1.05715,0.92491,0.007822,0.007822,0.007822
24,2189.69,1.46556,1.09375,0.93712,0.39249,0.29851,0.29175,0.16451,1.42215,1.07029,0.92749,0.007723,0.007723,0.007723
25,2280.08,1.46737,1.08781,0.9355,0.38155,0.29476,0.28676,0.16223,1.41833,1.06263,0.92873,0.007624,0.007624,0.007624
26,2370.86,1.45145,1.08162,0.93369,0.38589,0.29866,0.29027,0.16622,1.41335,1.05968,0.92707,0.007525,0.007525,0.007525
27,2460.78,1.44844,1.07894,0.9341,0.40273,0.30198,0.29356,0.16887,1.4134,1.05572,0.92533,0.007426,0.007426,0.007426
28,2550.99,1.44658,1.07594,0.93369,0.405,0.29773,0.29332,0.16703,1.41062,1.04657,0.92503,0.007327,0.007327,0.007327
29,2641.53,1.43829,1.06539,0.9332,0.39236,0.30728,0.29718,0.17034,1.39615,1.0444,0.92088,0.007228,0.007228,0.007228
30,2732.04,1.43525,1.05783,0.93137,0.40511,0.30501,0.29476,0.16972,1.39242,1.04654,0.92022,0.007129,0.007129,0.007129
31,2821.88,1.43871,1.06408,0.93048,0.41845,0.30833,0.30541,0.17441,1.38868,1.03555,0.92122,0.00703,0.00703,0.00703
32,2913.01,1.42548,1.04975,0.92943,0.40081,0.30538,0.29724,0.17021,1.39854,1.03921,0.92121,0.006931,0.006931,0.006931
33,3003.21,1.43413,1.0513,0.92812,0.40297,0.31822,0.30939,0.17781,1.39203,1.02649,0.92073,0.006832,0.006832,0.006832
34,3093.4,1.42546,1.04537,0.93048,0.39391,0.31193,0.30368,0.1749,1.39086,1.02834,0.92281,0.006733,0.006733,0.006733
35,3183.84,1.42317,1.04197,0.92827,0.40669,0.31381,0.30386,0.17491,1.38464,1.02913,0.92088,0.006634,0.006634,0.006634
36,3273.42,1.41951,1.03576,0.92798,0.41684,0.31307,0.30405,0.17566,1.38795,1.02271,0.91863,0.006535,0.006535,0.006535
37,3362.72,1.4184,1.03749,0.92688,0.42506,0.31139,0.30848,0.17718,1.38025,1.02162,0.91737,0.006436,0.006436,0.006436
38,3452.69,1.41459,1.02869,0.92482,0.42224,0.31327,0.30846,0.17757,1.38015,1.01997,0.91861,0.006337,0.006337,0.006337
39,3542.58,1.40873,1.02614,0.92417,0.42486,0.31434,0.31193,0.17886,1.38043,1.01599,0.91716,0.006238,0.006238,0.006238
40,3632.5,1.40567,1.02067,0.92277,0.41814,0.3154,0.31182,0.17899,1.37776,1.01211,0.9192,0.006139,0.006139,0.006139
41,3722.08,1.40494,1.01896,0.92461,0.41366,0.32402,0.31292,0.18064,1.3702,1.00799,0.91658,0.00604,0.00604,0.00604
